
----------- test 1 -----------------

exact exp(  2.50)=1.218249396070e+01,  your_exp=1.218249396070e+01,  abs_err=5.64881e-13,  rel_err=4.6368295092e-14
exact exp(  0.50)=1.648721270700e+00,  your_exp=1.648721270700e+00,  abs_err=5.30243e-13,  rel_err=3.2160834338e-13
exact exp( -1.50)=2.231301601484e-01,  your_exp=2.231301601484e-01,  abs_err=1.24623e-14,  rel_err=5.5851945085e-14
exact exp( -3.50)=3.019738342232e-02,  your_exp=3.019738342232e-02,  abs_err=3.50414e-16,  rel_err=1.1604122690e-14
exact exp( -5.50)=4.086771438464e-03,  your_exp=4.086771438464e-03,  abs_err=7.80626e-18,  rel_err=1.9101277768e-15
exact exp( -7.50)=5.530843701478e-04,  your_exp=5.530843701478e-04,  abs_err=2.16840e-19,  rel_err=3.9205670274e-16
exact exp( -9.50)=7.485182988770e-05,  your_exp=7.485182988770e-05,  abs_err=1.35525e-20,  rel_err=1.8105806066e-16
exact exp(-11.50)=1.013009359863e-05,  your_exp=1.013009359863e-05,  abs_err=0.00000e+00,  rel_err=0.0000000000e+00
exact exp(-13.50)=1.370959086384e-06,  your_exp=1.370959086384e-06,  abs_err=4.23516e-22,  rel_err=3.0891984876e-16
exact exp(-15.50)=1.855391362616e-07,  your_exp=1.855391362616e-07,  abs_err=1.32349e-22,  rel_err=7.1332065393e-16
exact exp(-17.50)=2.510999155744e-08,  your_exp=2.510999155744e-08,  abs_err=9.92617e-24,  rel_err=3.9530747463e-16
exact exp(-19.50)=3.398267819495e-09,  your_exp=3.398267819495e-09,  abs_err=4.13590e-25,  rel_err=1.2170621277e-16
exact exp(-21.50)=4.599055378652e-10,  your_exp=4.599055378652e-10,  abs_err=4.13590e-25,  rel_err=8.9929403372e-16
exact exp(-23.50)=6.224144622908e-11,  your_exp=6.224144622908e-11,  abs_err=2.58494e-26,  rel_err=4.1530837904e-16
exact exp(-25.50)=8.423463754469e-12,  your_exp=8.423463754469e-12,  abs_err=3.23117e-27,  rel_err=3.8359211388e-16
exact exp(-27.50)=1.139991853044e-12,  your_exp=1.139991853044e-12,  abs_err=2.01948e-28,  rel_err=1.7714897804e-16
